seed,family,source_file,iteration_start,iteration_end,sampled_frames,effective_radius_mean,boundary_spacing_mean,boundary_spacing_time_std,autocorrelation_peak_height_mean
6,CW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=6).h5",35300,50000,295,3.486225687184713,1.3381598171756177,0.00639068584306227,0.526846356739303
6,CCW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=6).h5",35300,50000,295,3.4852786921440586,1.3085015549811723,0.0036286466775724696,0.510722990657441
7,CW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=7).h5",35300,50000,295,3.4828129503992318,1.315979106344848,0.009811549180899938,0.5746691218784684
7,CCW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=7).h5",35300,50000,295,3.4832081006880813,1.3035446552871544,0.0060693945330407666,0.37361824732551807
8,CW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=8).h5",35300,50000,295,3.4845750048438964,1.3848097702188038,0.022180218534958742,0.43991803196685225
8,CCW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=8).h5",35300,50000,295,3.483960932644163,1.3979492409269825,0.06630185782465747,0.3988214112093601
9,CW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=9).h5",35300,50000,295,3.486322592050864,1.348745080796533,0.003051026302422074,0.5803447670656567
9,CCW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=9).h5",35300,50000,295,3.4850405891564544,1.3493983335201345,0.031240177479762456,0.4536554126399578
10,CW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=10).h5",35300,50000,295,3.4840096750778247,1.3424319192622283,0.01851499566720551,0.404303549167594
10,CCW,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\pi_endpoint_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=10).h5",35300,50000,295,3.4791974953547036,1.2667419792536192,0.00620269514134716,0.4520036069413201
